REV,attacker_blocks,total_blocks,fork_rate,orphan_blocks,delay_usage_freq,delay_cost,mean_reward,epsilon,mode,alpha,delay_intensity,target_fraction
0.016666666666666666,10,600,0.0,470,0.0,0.0,0.0,0.0,A,0.05,0,0.5
0.016666666666666666,10,600,0.0,481,0.0,0.0,0.0,0.0,A,0.05,0,0.5
0.06333333333333334,38,600,0.0,561,0.0,207376.68447241533,0.0,0.0,B,0.05,0,0.5
0.05,30,600,0.0,562,0.0,296151.76037141035,0.0,0.0,B,0.05,0,0.5
0.05,30,600,0.0,569,0.0,260708.20718628587,0.0,0.0,B,0.05,0,0.5
0.06166666666666667,37,600,0.0,562,0.0,344017.6867845356,0.0,0.0,B,0.05,0,0.5
0.025,15,600,0.0,567,0.0,229666.08569525892,0.0,0.0,B,0.05,0,0.5
0.04666666666666667,28,600,0.0,571,0.0,195950.06708942418,0.0,0.0,B,0.05,0,0.5
0.04,24,600,0.0,557,0.0,278405.43080958264,0.0,0.0,B,0.05,0,0.5
0.0,0,600,0.0,568,0.0,284121.20962362783,0.0,0.0,B,0.05,0,0.5
0.0,0,600,0.0,567,0.0,221723.53030704206,0.0,0.0,B,0.05,0,0.5
0.0,0,600,0.0,568,0.0,231478.67318678965,0.0,0.0,B,0.05,0,0.5
0.0,0,600,0.0,565,0.6483333333333333,263855.4409696078,-0.36602731204115796,0.05,C,0.05,0,0.5
0.0,0,600,0.0,568,0.5716666666666667,243758.57520703317,-0.3655510100382145,0.05,C,0.05,0,0.5
0.0,0,600,0.0,567,0.595,271529.0454608514,-0.3710356220742633,0.05,C,0.05,0,0.5
0.03666666666666667,22,600,0.0,577,0.93,194265.55590315047,-0.36334731411017895,0.05,C,0.05,0,0.5
0.03333333333333333,20,600,0.0,569,0.5633333333333334,249086.67520015623,-0.3632291457427493,0.05,C,0.05,0,0.5
0.0016666666666666668,1,600,0.0,568,0.5983333333333334,252913.4335328601,-0.3646548536102744,0.05,C,0.05,0,0.5
0.006666666666666667,4,600,0.0,562,0.7416666666666667,281442.23155580106,-0.36950477798690057,0.05,C,0.05,0,0.5
0.02,12,600,0.0,563,0.5933333333333334,310110.9762908327,-0.3760056227263478,0.05,C,0.05,0,0.5
0.01,6,600,0.0,564,0.8266666666666667,234712.30212758423,-0.37474179218632586,0.05,C,0.05,0,0.5
0.0,0,600,0.0,566,0.9166666666666666,209192.3443519034,-0.3710702430233729,0.05,C,0.05,0,0.5
0.0,0,600,0.0,569,0.5516666666666666,254265.71744709718,-0.3979249266175437,0.05,no_targeting,0.05,0,0.5
0.0,0,600,0.0,569,0.8466666666666667,211711.80155949268,-0.38975106754903815,0.05,no_targeting,0.05,0,0.5
0.008333333333333333,5,600,0.0,565,0.855,249734.39906277653,-0.3883698188419706,0.05,no_targeting,0.05,0,0.5
0.02666666666666667,16,600,0.0,569,0.6816666666666666,265593.74511027546,-0.3891436874260113,0.05,no_targeting,0.05,0,0.5
0.0,0,600,0.0,567,0.7516666666666667,245955.2358041861,-0.3872807417014701,0.05,no_targeting,0.05,0,0.5
0.0,0,600,0.0,572,0.6066666666666667,255592.3543551257,-0.3877835880507849,0.05,no_targeting,0.05,0,0.5
0.0,0,600,0.0,569,0.6,287445.004941498,-0.39209190495201013,0.05,no_targeting,0.05,0,0.5
0.006666666666666667,4,600,0.0,572,0.8116666666666666,218756.53550305756,-0.38756080000741133,0.05,no_targeting,0.05,0,0.5
0.0,0,600,0.0,572,0.9316666666666666,190566.396322164,-0.38089706631306997,0.05,no_targeting,0.05,0,0.5
0.0016666666666666668,1,600,0.0,569,0.7183333333333334,307977.2289329032,-0.386215491233909,0.05,no_targeting,0.05,0,0.5
0.04833333333333333,29,600,0.0,569,0.0,261723.84962183228,0.0,0.0,no_rl,0.05,0,0.5
0.016666666666666666,10,600,0.0,567,0.0,218624.41748304135,0.0,0.0,no_rl,0.05,0,0.5
0.0,0,600,0.0,563,0.0,294441.6435046162,0.0,0.0,no_rl,0.05,0,0.5
0.041666666666666664,25,600,0.0,566,0.0,228663.69050957516,0.0,0.0,no_rl,0.05,0,0.5
0.04833333333333333,29,600,0.0,563,0.0,316485.6426616841,0.0,0.0,no_rl,0.05,0,0.5
0.013333333333333334,8,600,0.0,566,0.0,228197.0871085998,0.0,0.0,no_rl,0.05,0,0.5
0.04666666666666667,28,600,0.0,565,0.0,280408.72689431673,0.0,0.0,no_rl,0.05,0,0.5
0.013333333333333334,8,600,0.0,560,0.0,317041.7149627784,0.0,0.0,no_rl,0.05,0,0.5
0.04833333333333333,29,600,0.0,564,0.0,323271.6263603145,0.0,0.0,no_rl,0.05,0,0.5
0.0,0,600,0.0,570,0.0,158675.44663739664,0.0,0.0,no_rl,0.05,0,0.5
0.04833333333333333,29,600,0.0,562,0.08333333333333333,223925.16911449187,0.024814814814814814,0.05,no_cost,0.05,0,0.5
0.0,0,600,0.0,568,0.07,307226.61491681734,0.025166666666666667,0.05,no_cost,0.05,0,0.5
0.0,0,600,0.0,571,0.07166666666666667,245792.59024169913,0.025606060606060604,0.05,no_cost,0.05,0,0.5
0.0,0,600,0.0,568,0.06333333333333334,195094.5118782809,0.026111111111111113,0.05,no_cost,0.05,0,0.5
0.0,0,600,0.0,567,0.058333333333333334,253744.70411785512,0.025897435897435896,0.05,no_cost,0.05,0,0.5
0.0,0,600,0.0,570,0.06333333333333334,275847.1647151099,0.02654761904761905,0.05,no_cost,0.05,0,0.5
0.0,0,600,0.0,572,0.07333333333333333,238184.68986199866,0.02677777777777778,0.05,no_cost,0.05,0,0.5
0.0,0,600,0.0,567,0.06333333333333334,250419.83247082363,0.026875,0.05,no_cost,0.05,0,0.5
0.0,0,600,0.0,569,0.07833333333333334,243823.58699421556,0.027450980392156862,0.05,no_cost,0.05,0,0.5
0.0,0,600,0.0,572,0.07,328877.22071787616,0.028055555555555556,0.05,no_cost,0.05,0,0.5
0.011666666666666667,7,600,0.0,470,0.0,0.0,0.0,0.0,A,0.05,500,0.0
0.03,18,600,0.0,475,0.0,0.0,0.0,0.0,A,0.05,500,0.0
0.008333333333333333,5,600,0.0,463,0.0,0.0,0.0,0.0,A,0.05,500,0.0
0.03,18,600,0.0,484,0.0,0.0,0.0,0.0,A,0.05,500,0.0
0.013333333333333334,8,600,0.0,470,0.0,0.0,0.0,0.0,A,0.05,500,0.0
0.008333333333333333,5,600,0.0,483,0.0,0.0,0.0,0.0,A,0.05,500,0.0
0.016666666666666666,10,600,0.0,471,0.0,0.0,0.0,0.0,A,0.05,500,0.0
0.0016666666666666668,1,600,0.0,483,0.0,0.0,0.0,0.0,A,0.05,500,0.0
0.03166666666666667,19,600,0.0,457,0.0,0.0,0.0,0.0,A,0.05,500,0.0
0.02666666666666667,16,600,0.0,492,0.0,0.0,0.0,0.0,A,0.05,500,0.0
0.0,0,600,0.0,565,0.0,313117.6717944967,0.0,0.0,B,0.05,500,0.0
0.075,45,600,0.0,554,0.0,267982.93732291815,0.0,0.0,B,0.05,500,0.0
0.006666666666666667,4,600,0.0,570,0.0,297085.94284393796,0.0,0.0,B,0.05,500,0.0
0.0,0,600,0.0,566,0.0,278381.66949606565,0.0,0.0,B,0.05,500,0.0
0.056666666666666664,34,600,0.0,563,0.0,261332.78737251996,0.0,0.0,B,0.05,500,0.0
0.018333333333333333,11,600,0.0,569,0.0,168200.9804269738,0.0,0.0,B,0.05,500,0.0
0.056666666666666664,34,600,0.0,565,0.0,247749.0468367224,0.0,0.0,B,0.05,500,0.0
0.05,30,600,0.0,568,0.0,294292.64607277064,0.0,0.0,B,0.05,500,0.0
0.025,15,600,0.0,566,0.0,193666.91387140471,0.0,0.0,B,0.05,500,0.0
0.041666666666666664,25,600,0.0,560,0.0,322046.8745890282,0.0,0.0,B,0.05,500,0.0
0.0,0,600,0.0,570,0.11666666666666667,238401.72393994813,-0.5458322866191966,0.05,C,0.05,500,0.0
0.0,0,600,0.0,563,0.69,361099.1092234074,-0.5480989094945117,0.05,C,0.05,500,0.0
0.0,0,600,0.0,565,0.32,352985.5089521086,-0.5487240857453302,0.05,C,0.05,500,0.0
0.0,0,600,0.0,564,0.215,259014.21536132725,-0.5361934974000703,0.05,C,0.05,500,0.0
0.018333333333333333,11,600,0.0,567,0.4266666666666667,300147.89902943635,-0.5291975743987105,0.05,C,0.05,500,0.0
0.018333333333333333,11,600,0.0,567,0.8583333333333333,251277.43820683146,-0.5185736331567588,0.05,C,0.05,500,0.0
0.0,0,600,0.0,573,0.9183333333333333,152592.00169030234,-0.49929005780078617,0.05,C,0.05,500,0.0
