metric,mean,std,mode,alpha,delay_intensity,target_fraction,runs,run_mode,training_mean_reward,training_reward_history
attacker_blocks,13.3,12.780627701503727,no_cost,0.05,0,0.0,10,no_cost,0.03357688492063492,"[0.018333333333333333, 0.028333333333333332, 0.03166666666666667, 0.030833333333333334, 0.034666666666666665, 0.03972222222222222, 0.04214285714285714, 0.042916666666666665]"
total_blocks,600.0,0.0,no_cost,0.05,0,0.0,10,no_cost,0.03357688492063492,"[0.018333333333333333, 0.028333333333333332, 0.03166666666666667, 0.030833333333333334, 0.034666666666666665, 0.03972222222222222, 0.04214285714285714, 0.042916666666666665]"
fork_rate,0.0,0.0,no_cost,0.05,0,0.0,10,no_cost,0.03357688492063492,"[0.018333333333333333, 0.028333333333333332, 0.03166666666666667, 0.030833333333333334, 0.034666666666666665, 0.03972222222222222, 0.04214285714285714, 0.042916666666666665]"
orphan_blocks,565.7,3.0568684048294332,no_cost,0.05,0,0.0,10,no_cost,0.03357688492063492,"[0.018333333333333333, 0.028333333333333332, 0.03166666666666667, 0.030833333333333334, 0.034666666666666665, 0.03972222222222222, 0.04214285714285714, 0.042916666666666665]"
delay_usage_freq,0.04583333333333333,0.009204467514322717,no_cost,0.05,0,0.0,10,no_cost,0.03357688492063492,"[0.018333333333333333, 0.028333333333333332, 0.03166666666666667, 0.030833333333333334, 0.034666666666666665, 0.03972222222222222, 0.04214285714285714, 0.042916666666666665]"
delay_cost,240657.22054282337,36326.375905558976,no_cost,0.05,0,0.0,10,no_cost,0.03357688492063492,"[0.018333333333333333, 0.028333333333333332, 0.03166666666666667, 0.030833333333333334, 0.034666666666666665, 0.03972222222222222, 0.04214285714285714, 0.042916666666666665]"
mean_reward,0.044604027916527914,0.0009392113838124327,no_cost,0.05,0,0.0,10,no_cost,0.03357688492063492,"[0.018333333333333333, 0.028333333333333332, 0.03166666666666667, 0.030833333333333334, 0.034666666666666665, 0.03972222222222222, 0.04214285714285714, 0.042916666666666665]"
epsilon,0.05,0.0,no_cost,0.05,0,0.0,10,no_cost,0.03357688492063492,"[0.018333333333333333, 0.028333333333333332, 0.03166666666666667, 0.030833333333333334, 0.034666666666666665, 0.03972222222222222, 0.04214285714285714, 0.042916666666666665]"
REV,0.015333333333333332,0.00792713732521643,A,0.05,0,0.5,10,A,,
attacker_blocks,9.2,4.756282395129858,A,0.05,0,0.5,10,A,,
total_blocks,600.0,0.0,A,0.05,0,0.5,10,A,,
fork_rate,0.0,0.0,A,0.05,0,0.5,10,A,,
orphan_blocks,472.2,9.624043964063247,A,0.05,0,0.5,10,A,,
delay_usage_freq,0.0,0.0,A,0.05,0,0.5,10,A,,
delay_cost,0.0,0.0,A,0.05,0,0.5,10,A,,
mean_reward,0.0,0.0,A,0.05,0,0.5,10,A,,
epsilon,0.0,0.0,A,0.05,0,0.5,10,A,,
REV,0.033666666666666664,0.025565215565560566,B,0.05,0,0.5,10,B,,
attacker_blocks,20.2,15.33912933933634,B,0.05,0,0.5,10,B,,
total_blocks,600.0,0.0,B,0.05,0,0.5,10,B,,
fork_rate,0.0,0.0,B,0.05,0,0.5,10,B,,
orphan_blocks,565.2,4.417138339593985,B,0.05,0,0.5,10,B,,
delay_usage_freq,0.0,0.0,B,0.05,0,0.5,10,B,,
delay_cost,254959.93355263723,46071.56363552995,B,0.05,0,0.5,10,B,,
mean_reward,0.0,0.0,B,0.05,0,0.5,10,B,,
epsilon,0.0,0.0,B,0.05,0,0.5,10,B,,
REV,0.010833333333333332,0.01425625268928482,C,0.05,0,0.5,10,C,-0.3609562664312906,"[-0.36853326914000745, -0.3552921601132262, -0.3602063030346392, -0.3617078104460333, -0.3603523125606974, -0.3598994052291507, -0.3604730284156029, -0.3611858425109679]"
attacker_blocks,6.5,8.553751613570894,C,0.05,0,0.5,10,C,-0.3609562664312906,"[-0.36853326914000745, -0.3552921601132262, -0.3602063030346392, -0.3617078104460333, -0.3603523125606974, -0.3598994052291507, -0.3604730284156029, -0.3611858425109679]"
total_blocks,600.0,0.0,C,0.05,0,0.5,10,C,-0.3609562664312906,"[-0.36853326914000745, -0.3552921601132262, -0.3602063030346392, -0.3617078104460333, -0.3603523125606974, -0.3598994052291507, -0.3604730284156029, -0.3611858425109679]"
fork_rate,0.0,0.0,C,0.05,0,0.5,10,C,-0.3609562664312906,"[-0.36853326914000745, -0.3552921601132262, -0.3602063030346392, -0.3617078104460333, -0.3603523125606974, -0.3598994052291507, -0.3604730284156029, -0.3611858425109679]"
orphan_blocks,566.9,4.2282121254470875,C,0.05,0,0.5,10,C,-0.3609562664312906,"[-0.36853326914000745, -0.3552921601132262, -0.3602063030346392, -0.3617078104460333, -0.3603523125606974, -0.3598994052291507, -0.3604730284156029, -0.3611858425109679]"
delay_usage_freq,0.6985,0.14459063115321114,C,0.05,0,0.5,10,C,-0.3609562664312906,"[-0.36853326914000745, -0.3552921601132262, -0.3602063030346392, -0.3617078104460333, -0.3603523125606974, -0.3598994052291507, -0.3604730284156029, -0.3611858425109679]"
delay_cost,251086.65805997807,33828.312511651486,C,0.05,0,0.5,10,C,-0.3609562664312906,"[-0.36853326914000745, -0.3552921601132262, -0.3602063030346392, -0.3617078104460333, -0.3603523125606974, -0.3598994052291507, -0.3604730284156029, -0.3611858425109679]"
mean_reward,-0.3685167693539786,0.004633987869548932,C,0.05,0,0.5,10,C,-0.3609562664312906,"[-0.36853326914000745, -0.3552921601132262, -0.3602063030346392, -0.3617078104460333, -0.3603523125606974, -0.3598994052291507, -0.3604730284156029, -0.3611858425109679]"
epsilon,0.05,0.0,C,0.05,0,0.5,10,C,-0.3609562664312906,"[-0.36853326914000745, -0.3552921601132262, -0.3602063030346392, -0.3617078104460333, -0.3603523125606974, -0.3598994052291507, -0.3604730284156029, -0.3611858425109679]"
REV,0.004333333333333333,0.008432740427115679,no_targeting,0.05,0,0.5,10,no_targeting,-0.4050789485849853,"[-0.4153351509976381, -0.41323769858135573, -0.40717768439445634, -0.4033780014323359, -0.4045608612385878, -0.3979506135698874, -0.39908972715569635, -0.39990185130992467]"
attacker_blocks,2.6,5.059644256269407,no_targeting,0.05,0,0.5,10,no_targeting,-0.4050789485849853,"[-0.4153351509976381, -0.41323769858135573, -0.40717768439445634, -0.4033780014323359, -0.4045608612385878, -0.3979506135698874, -0.39908972715569635, -0.39990185130992467]"
total_blocks,600.0,0.0,no_targeting,0.05,0,0.5,10,no_targeting,-0.4050789485849853,"[-0.4153351509976381, -0.41323769858135573, -0.40717768439445634, -0.4033780014323359, -0.4045608612385878, -0.3979506135698874, -0.39908972715569635, -0.39990185130992467]"
fork_rate,0.0,0.0,no_targeting,0.05,0,0.5,10,no_targeting,-0.4050789485849853,"[-0.4153351509976381, -0.41323769858135573, -0.40717768439445634, -0.4033780014323359, -0.4045608612385878, -0.3979506135698874, -0.39908972715569635, -0.39990185130992467]"
orphan_blocks,569.3,2.263232692902394,no_targeting,0.05,0,0.5,10,no_targeting,-0.4050789485849853,"[-0.4153351509976381, -0.41323769858135573, -0.40717768439445634, -0.4033780014323359, -0.4045608612385878, -0.3979506135698874, -0.39908972715569635, -0.39990185130992467]"
delay_usage_freq,0.7355,0.12610756235829246,no_targeting,0.05,0,0.5,10,no_targeting,-0.4050789485849853,"[-0.4153351509976381, -0.41323769858135573, -0.40717768439445634, -0.4033780014323359, -0.4045608612385878, -0.3979506135698874, -0.39908972715569635, -0.39990185130992467]"
delay_cost,248759.8419038576,35010.58146219963,no_targeting,0.05,0,0.5,10,no_targeting,-0.4050789485849853,"[-0.4153351509976381, -0.41323769858135573, -0.40717768439445634, -0.4033780014323359, -0.4045608612385878, -0.3979506135698874, -0.39908972715569635, -0.39990185130992467]"
mean_reward,-0.3887019092693219,0.004336221018664082,no_targeting,0.05,0,0.5,10,no_targeting,-0.4050789485849853,"[-0.4153351509976381, -0.41323769858135573, -0.40717768439445634, -0.4033780014323359, -0.4045608612385878, -0.3979506135698874, -0.39908972715569635, -0.39990185130992467]"
epsilon,0.05,0.0,no_targeting,0.05,0,0.5,10,no_targeting,-0.4050789485849853,"[-0.4153351509976381, -0.41323769858135573, -0.40717768439445634, -0.4033780014323359, -0.4045608612385878, -0.3979506135698874, -0.39908972715569635, -0.39990185130992467]"
REV,0.027666666666666666,0.0208196251196667,no_rl,0.05,0,0.5,10,no_rl,,
attacker_blocks,16.6,12.491775071800022,no_rl,0.05,0,0.5,10,no_rl,,
total_blocks,600.0,0.0,no_rl,0.05,0,0.5,10,no_rl,,
fork_rate,0.0,0.0,no_rl,0.05,0,0.5,10,no_rl,,
orphan_blocks,565.3,2.9832867780352594,no_rl,0.05,0,0.5,10,no_rl,,
delay_usage_freq,0.0,0.0,no_rl,0.05,0,0.5,10,no_rl,,
delay_cost,262753.3845744155,53696.24506921859,no_rl,0.05,0,0.5,10,no_rl,,
mean_reward,0.0,0.0,no_rl,0.05,0,0.5,10,no_rl,,
epsilon,0.0,0.0,no_rl,0.05,0,0.5,10,no_rl,,
REV,0.004833333333333334,0.015284342024147168,no_cost,0.05,0,0.5,10,no_cost,0.02125545634920635,"[0.023333333333333334, 0.018333333333333333, 0.018333333333333333, 0.024583333333333332, 0.021333333333333333, 0.020555555555555556, 0.021904761904761906, 0.021666666666666667]"
attacker_blocks,2.9,9.1706052144883,no_cost,0.05,0,0.5,10,no_cost,0.02125545634920635,"[0.023333333333333334, 0.018333333333333333, 0.018333333333333333, 0.024583333333333332, 0.021333333333333333, 0.020555555555555556, 0.021904761904761906, 0.021666666666666667]"
total_blocks,600.0,0.0,no_cost,0.05,0,0.5,10,no_cost,0.02125545634920635,"[0.023333333333333334, 0.018333333333333333, 0.018333333333333333, 0.024583333333333332, 0.021333333333333333, 0.020555555555555556, 0.021904761904761906, 0.021666666666666667]"
fork_rate,0.0,0.0,no_cost,0.05,0,0.5,10,no_cost,0.02125545634920635,"[0.023333333333333334, 0.018333333333333333, 0.018333333333333333, 0.024583333333333332, 0.021333333333333333, 0.020555555555555556, 0.021904761904761906, 0.021666666666666667]"
orphan_blocks,568.6,2.988868236194653,no_cost,0.05,0,0.5,10,no_cost,0.02125545634920635,"[0.023333333333333334, 0.018333333333333333, 0.018333333333333333, 0.024583333333333332, 0.021333333333333333, 0.020555555555555556, 0.021904761904761906, 0.021666666666666667]"
delay_usage_freq,0.0695,0.007659819808988513,no_cost,0.05,0,0.5,10,no_cost,0.02125545634920635,"[0.023333333333333334, 0.018333333333333333, 0.018333333333333333, 0.024583333333333332, 0.021333333333333333, 0.020555555555555556, 0.021904761904761906, 0.021666666666666667]"
delay_cost,256293.60850291682,38976.69200221497,no_cost,0.05,0,0.5,10,no_cost,0.02125545634920635,"[0.023333333333333334, 0.018333333333333333, 0.018333333333333333, 0.024583333333333332, 0.021333333333333333, 0.020555555555555556, 0.021904761904761906, 0.021666666666666667]"
mean_reward,0.026330302186919834,0.0010103502678856931,no_cost,0.05,0,0.5,10,no_cost,0.02125545634920635,"[0.023333333333333334, 0.018333333333333333, 0.018333333333333333, 0.024583333333333332, 0.021333333333333333, 0.020555555555555556, 0.021904761904761906, 0.021666666666666667]"
epsilon,0.05,0.0,no_cost,0.05,0,0.5,10,no_cost,0.02125545634920635,"[0.023333333333333334, 0.018333333333333333, 0.018333333333333333, 0.024583333333333332, 0.021333333333333333, 0.020555555555555556, 0.021904761904761906, 0.021666666666666667]"
