metric,mean,std,mode,alpha,delay_intensity,target_fraction,n_nodes,asymmetric_delay,partition_prob,propagation_variance,runs,run_mode,training_mean_reward,training_reward_history
orphan_blocks,386.4,16.040573555830225,C,0.5,0,0.0,30,False,0.0,0.0,5,C,0.24466088573608705,"[0.20543526252114988, 0.24038130210310407, 0.24581981880488585, 0.2354253517895278, 0.24629331192590065, 0.256674441666311, 0.26283198584092143, 0.2644256112368955]"
delay_usage_freq,0.6076666666666666,0.07524589320650295,C,0.5,0,0.0,30,False,0.0,0.0,5,C,0.24466088573608705,"[0.20543526252114988, 0.24038130210310407, 0.24581981880488585, 0.2354253517895278, 0.24629331192590065, 0.256674441666311, 0.26283198584092143, 0.2644256112368955]"
delay_cost,130060.38845703178,31933.205140317437,C,0.5,0,0.0,30,False,0.0,0.0,5,C,0.24466088573608705,"[0.20543526252114988, 0.24038130210310407, 0.24581981880488585, 0.2354253517895278, 0.24629331192590065, 0.256674441666311, 0.26283198584092143, 0.2644256112368955]"
mean_reward,0.2556640516717866,0.006491295552331662,C,0.5,0,0.0,30,False,0.0,0.0,5,C,0.24466088573608705,"[0.20543526252114988, 0.24038130210310407, 0.24581981880488585, 0.2354253517895278, 0.24629331192590065, 0.256674441666311, 0.26283198584092143, 0.2644256112368955]"
epsilon,0.05,0.0,C,0.5,0,0.0,30,False,0.0,0.0,5,C,0.24466088573608705,"[0.20543526252114988, 0.24038130210310407, 0.24581981880488585, 0.2354253517895278, 0.24629331192590065, 0.256674441666311, 0.26283198584092143, 0.2644256112368955]"
REV,0.4963333333333333,0.024787989923437594,A,0.5,1000,0.0,30,False,0.0,0.0,5,A,,
attacker_blocks,297.8,14.872793954062566,A,0.5,1000,0.0,30,False,0.0,0.0,5,A,,
total_blocks,600.0,0.0,A,0.5,1000,0.0,30,False,0.0,0.0,5,A,,
fork_rate,0.0,0.0,A,0.5,1000,0.0,30,False,0.0,0.0,5,A,,
orphan_blocks,300.6,14.587666023048374,A,0.5,1000,0.0,30,False,0.0,0.0,5,A,,
delay_usage_freq,0.0,0.0,A,0.5,1000,0.0,30,False,0.0,0.0,5,A,,
delay_cost,0.0,0.0,A,0.5,1000,0.0,30,False,0.0,0.0,5,A,,
mean_reward,0.0,0.0,A,0.5,1000,0.0,30,False,0.0,0.0,5,A,,
epsilon,0.0,0.0,A,0.5,1000,0.0,30,False,0.0,0.0,5,A,,
REV,0.2376666666666667,0.01121754578030922,C,0.5,1000,0.0,30,False,0.0,0.0,5,C,0.036191861126919356,"[0.096330136587288, 0.013078777614833505, 0.02263841737892813, 0.022572393648371325, 0.032853066188926854, 0.018616532933119278, 0.039904556865191086, 0.04354100779869665]"
attacker_blocks,142.6,6.730527468185536,C,0.5,1000,0.0,30,False,0.0,0.0,5,C,0.036191861126919356,"[0.096330136587288, 0.013078777614833505, 0.02263841737892813, 0.022572393648371325, 0.032853066188926854, 0.018616532933119278, 0.039904556865191086, 0.04354100779869665]"
total_blocks,600.0,0.0,C,0.5,1000,0.0,30,False,0.0,0.0,5,C,0.036191861126919356,"[0.096330136587288, 0.013078777614833505, 0.02263841737892813, 0.022572393648371325, 0.032853066188926854, 0.018616532933119278, 0.039904556865191086, 0.04354100779869665]"
fork_rate,0.0,0.0,C,0.5,1000,0.0,30,False,0.0,0.0,5,C,0.036191861126919356,"[0.096330136587288, 0.013078777614833505, 0.02263841737892813, 0.022572393648371325, 0.032853066188926854, 0.018616532933119278, 0.039904556865191086, 0.04354100779869665]"
orphan_blocks,456.4,6.730527468185536,C,0.5,1000,0.0,30,False,0.0,0.0,5,C,0.036191861126919356,"[0.096330136587288, 0.013078777614833505, 0.02263841737892813, 0.022572393648371325, 0.032853066188926854, 0.018616532933119278, 0.039904556865191086, 0.04354100779869665]"
delay_usage_freq,0.4916666666666666,0.13908430696683377,C,0.5,1000,0.0,30,False,0.0,0.0,5,C,0.036191861126919356,"[0.096330136587288, 0.013078777614833505, 0.02263841737892813, 0.022572393648371325, 0.032853066188926854, 0.018616532933119278, 0.039904556865191086, 0.04354100779869665]"
delay_cost,246039.69775931636,60536.16491025583,C,0.5,1000,0.0,30,False,0.0,0.0,5,C,0.036191861126919356,"[0.096330136587288, 0.013078777614833505, 0.02263841737892813, 0.022572393648371325, 0.032853066188926854, 0.018616532933119278, 0.039904556865191086, 0.04354100779869665]"
mean_reward,0.033741836250100056,0.005639858931367412,C,0.5,1000,0.0,30,False,0.0,0.0,5,C,0.036191861126919356,"[0.096330136587288, 0.013078777614833505, 0.02263841737892813, 0.022572393648371325, 0.032853066188926854, 0.018616532933119278, 0.039904556865191086, 0.04354100779869665]"
epsilon,0.05,0.0,C,0.5,1000,0.0,30,False,0.0,0.0,5,C,0.036191861126919356,"[0.096330136587288, 0.013078777614833505, 0.02263841737892813, 0.022572393648371325, 0.032853066188926854, 0.018616532933119278, 0.039904556865191086, 0.04354100779869665]"
