metric,mean,std,mode,alpha,delay_intensity,target_fraction,n_nodes,asymmetric_delay,partition_prob,propagation_variance,runs,run_mode,training_mean_reward,training_reward_history
mean_reward,-1.7768035931536061,0.05344807307559827,C,0.05,1000,0.0,100,True,0.2,0.5,5,C,-2.270150774718588,"[-3.145553438797117, -2.704527272511757, -2.3402340354615716, -2.181250980559077, -2.063502445030946, -1.9699767378719737, -1.9035428545089594, -1.8526184330073059]"
epsilon,0.05,0.0,C,0.05,1000,0.0,100,True,0.2,0.5,5,C,-2.270150774718588,"[-3.145553438797117, -2.704527272511757, -2.3402340354615716, -2.181250980559077, -2.063502445030946, -1.9699767378719737, -1.9035428545089594, -1.8526184330073059]"
REV,0.19566666666666666,0.02376388483018343,A,0.2,0,0.0,100,True,0.2,0.5,5,A,,
attacker_blocks,117.4,14.25833089811006,A,0.2,0,0.0,100,True,0.2,0.5,5,A,,
total_blocks,600.0,0.0,A,0.2,0,0.0,100,True,0.2,0.5,5,A,,
fork_rate,0.0,0.0,A,0.2,0,0.0,100,True,0.2,0.5,5,A,,
orphan_blocks,469.2,6.180614856144977,A,0.2,0,0.0,100,True,0.2,0.5,5,A,,
delay_usage_freq,0.0,0.0,A,0.2,0,0.0,100,True,0.2,0.5,5,A,,
delay_cost,0.0,0.0,A,0.2,0,0.0,100,True,0.2,0.5,5,A,,
mean_reward,0.0,0.0,A,0.2,0,0.0,100,True,0.2,0.5,5,A,,
epsilon,0.0,0.0,A,0.2,0,0.0,100,True,0.2,0.5,5,A,,
REV,0.123,0.010890872835136357,C,0.2,0,0.0,100,True,0.2,0.5,5,C,-0.8109808774533604,"[-0.8071933074833806, -0.8375824102828788, -0.8192514938843707, -0.8123777300361835, -0.8058670217296269, -0.809731870293611, -0.8007313323813089, -0.7951118535355233]"
attacker_blocks,73.8,6.534523701081816,C,0.2,0,0.0,100,True,0.2,0.5,5,C,-0.8109808774533604,"[-0.8071933074833806, -0.8375824102828788, -0.8192514938843707, -0.8123777300361835, -0.8058670217296269, -0.809731870293611, -0.8007313323813089, -0.7951118535355233]"
